"district_bk","district_name","region","inhabitants","municipalities1","municipalities2","municipalities3","municipalities4","cities","ratio_of_urban","salary","unemployment95","unemployment96","enterpreneurs","crimes95","crimes96","district_tk","version","date_from","date_to","last_update"
"28","Plzen - sever","west Bohemia",72541,66,26,10,0,8,"37",8594,"1.62","2.01",112,1580,1525,"28","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"29","Rokycany","west Bohemia",45714,52,10,5,1,6,"56",8843,"2.82","3.6",113,818,888,"29","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"30","Sokolov","west Bohemia",94812,15,13,8,2,10,"82",9650,"3.38","3.67",100,2985,2804,"30","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"31","Tachov","west Bohemia",51313,34,12,3,1,4,"59",8930,"3.52","4.2",108,1328,1452,"31","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"32","Ceska Lipa","north Bohemia",105058,32,19,7,2,10,"81",9272,"2.8","3.22",118,4340,4505,"32","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"33","Decin","north Bohemia",133777,24,17,7,3,11,"85",8705,"5.75","7.61",116,4650,4859,"33","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"34","Chomutov","north Bohemia",125236,28,11,1,4,5,"88",9675,"6.43","7.68",100,5323,5190,"34","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"35","Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,"80",8867,"1.02","1.21",130,3384,3620,"35","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"36","Liberec","north Bohemia",159617,29,19,8,1,9,"85",9198,"3.33","4.28",131,5796,6132,"36","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"37","Litomerice","north Bohemia",114006,71,26,6,2,9,"62",9065,"4.46","5.39",123,4147,4166,"37","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"38","Louny","north Bohemia",85852,41,23,4,2,4,"60",8965,"7.08","8.23",104,2653,2822,"38","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"39","Most","north Bohemia",119895,17,4,3,2,4,"90",10446,"7.34","9.4",90,4947,4743,"39","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"40","Teplice","north Bohemia",128118,9,16,6,3,8,"85",9317,"6.49","7.07",97,6949,6872,"40","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"41","Usti nad Labem","north Bohemia",118650,8,8,5,1,3,"86",9832,"3.32","4.48",114,6445,5471,"41","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.561"
"42","Havlickuv Brod","east Bohemia",95907,87,25,5,2,7,"59",8388,"2.41","2.94",87,1658,1668,"42","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.576"
"43","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,"76",9425,"1.72","2.5",125,4085,3891,"43","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.576"
"44","Chrudim","east Bohemia",105606,77,26,7,2,7,"53",8254,"2.79","3.76",97,2166,2325,"44","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.576"
"45","Jicin","east Bohemia",77917,85,19,6,1,5,"54",8390,"2.28","2.89",132,2080,2122,"45","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.576"
"46","Nachod","east Bohemia",112709,48,20,7,3,10,"74",8369,"1.79","2.31",117,2854,2618,"46","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.576"
"47","Pardubice","east Bohemia",162580,83,26,5,1,6,"73",9538,"1.51","1.81",111,6079,5410,"47","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.576"
"48","Rychnov nad Kneznou","east Bohemia",78955,50,24,8,1,9,"59",9060,"1.78","2.44",124,1655,1717,"48","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"49","Semily","east Bohemia",75685,31,28,5,1,9,"61",8208,"1.89","2.26",155,1660,2123,"49","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"50","Svitavy","east Bohemia",102609,75,33,2,3,6,"52",8187,"4.83","5.45",94,2123,2134,"50","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"51","Trutnov","east Bohemia",121947,37,28,7,3,11,"70",8541,"2.51","2.97",131,3496,3839,"51","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"52","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,"62",8363,"2.52","3.49",108,2564,2799,"52","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"53","Blansko","south Moravia",107911,88,33,6,2,7,"51",8240,"2.53","3.56",99,1850,1903,"53","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"54","Brno - mesto","south Moravia",387570,0,0,0,1,1,"100",9897,"1.6","1.96",140,18721,18696,"54","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"55","Brno - venkov","south Moravia",157042,49,70,18,0,9,"34",8743,"1.88","2.43",111,3659,3894,"55","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"56","Breclav","south Moravia",124605,11,42,14,1,8,"46",8772,"4.69","4.98",126,2854,3158,"56","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"57","Hodonin","south Moravia",161954,21,37,20,3,8,"48",8720,"3.73","4.5",116,3729,3651,"57","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"58","Jihlava","south Moravia",109164,98,16,6,1,4,"64",8757,"3.38","3.95",96,2212,2471,"58","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"59","Kromeriz","south Moravia",108871,41,29,7,2,6,"62",8444,"3.24","3.47",106,2595,2305,"59","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"60","Prostejov","south Moravia",110643,49,41,4,1,4,"52",8441,"3.45","4.48",115,1879,2252,"60","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"61","Trebic","south Moravia",117897,139,28,5,1,6,"54",8814,"4.76","5.74",107,2112,2059,"61","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"62","Uherske Hradiste","south Moravia",145688,22,41,13,2,5,"41",8544,"1.29","1.86",109,2719,2906,"62","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"63","Vyskov","south Moravia",86513,38,36,5,1,5,"50",8288,"3.79","4.52",110,1562,1460,"63","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"64","Zlin","south Moravia",197099,29,41,10,2,10,"75",9624,"1.6","2.31",145,4484,4265,"64","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"65","Znojmo","south Moravia",114200,101,41,4,1,4,"44",8403,"5.74","5.72",105,2157,2718,"65","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"66","Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,"48",8512,"3.51","4.12",102,2247,2103,"66","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"67","Bruntal","north Moravia",106054,38,25,6,2,6,"63",8110,"5.77","6.55",109,3244,3079,"67","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"68","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,"57",9893,"4.09","4.72",96,5623,5887,"68","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.585"
"69","Jesenik","north Moravia",42821,4,13,5,1,3,"48",8173,NULL,"7.01",124,NULL,1358,"69","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"70","Karvina","north Moravia",285387,0,2,8,5,7,"90",10177,"6.63","7.75",81,9878,10108,"70","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"71","Novy Jicin","north Moravia",161227,5,35,11,4,10,"70",8678,"5.93","5.57",102,4980,4595,"71","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"72","Olomouc","north Moravia",226122,32,50,7,4,4,"63",8994,"3.8","4.79",110,9672,9208,"72","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"73","Opava","north Moravia",182027,17,49,12,2,7,"56",8746,"3.33","3.74",90,4355,4433,"73","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"74","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,"100",10673,"4.75","5.44",100,18782,18347,"74","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"75","Prerov","north Moravia",138032,67,30,4,2,5,"65",8819,"5.38","5.66",99,4063,4505,"75","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"76","Sumperk","north Moravia",127369,31,32,13,2,7,"51",8369,"4.73","5.88",107,3736,2807,"76","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
"77","Vsetin","north Moravia",148545,8,35,12,3,4,"54",8909,"4.01","5.56",113,3460,3590,"77","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 20:21:40.601"
