"card_bk","type","issued","disp_id","card_tk","version","date_from","date_to","last_update"
"376","classic","1994-11-10","25864","18","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
"483","classic","1994-11-24","26513","19","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
"174","junior","1994-12-04","24548","20","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
"658","classic","1994-12-25","27583","21","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
"763","junior","1994-12-30","28200","22","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
"778","classic","1995-01-02","28240","23","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.772"
"1039","classic","1995-01-07","28639","24","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.788"
"477","junior","1995-01-16","26480","25","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.788"
"168","classic","1995-01-24","24527","26","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.788"
"314","junior","1995-01-27","25449","27","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.788"
"468","classic","1995-01-30","26426","28","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.788"
"208","gold","1995-02-08","24748","29","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.788"
"766","classic","1995-02-11","28214","30","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.788"
"464","classic","1995-02-21","26388","31","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.803"
"497","classic","1995-03-03","26580","32","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.803"
"166","classic","1995-03-05","24509","33","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.803"
"15","classic","1995-03-05","23668","34","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.803"
"503","classic","1995-03-08","26617","35","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.803"
"1038","junior","1995-03-30","28637","36","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.803"
"737","classic","1995-04-13","28094","37","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.803"
"418","classic","1995-04-14","26052","38","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"759","junior","1995-04-18","28192","39","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"223","classic","1995-04-18","24849","40","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"5","junior","1995-04-24","23611","41","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"159","classic","1995-05-01","24460","42","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"1223","junior","1995-05-02","28898","43","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"662","classic","1995-05-09","27625","44","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"779","junior","1995-05-21","28254","45","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"1040","junior","1995-05-28","28641","46","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"545","classic","1995-05-30","26836","47","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.819"
"467","classic","1995-06-05","26422","48","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"1247","classic","1995-06-13","28929","49","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"652","classic","1995-06-16","27545","50","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"559","classic","1995-06-17","26948","51","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"719","classic","1995-06-24","27971","52","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"397","classic","1995-06-24","25947","53","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"107","classic","1995-06-27","24129","54","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"661","classic","1995-07-03","27602","55","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"484","classic","1995-07-04","26514","56","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.835"
"501","classic","1995-07-09","26592","57","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"422","junior","1995-07-11","26074","58","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"705","classic","1995-07-12","27869","59","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"410","classic","1995-07-20","26000","60","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"136","classic","1995-07-28","24305","61","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"592","junior","1995-08-07","27143","62","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"262","junior","1995-08-24","25119","63","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"18","classic","1995-08-25","23682","64","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"3","gold","1995-09-03","23601","65","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"98","classic","1995-09-06","24076","66","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"167","classic","1995-09-15","24520","67","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"97","junior","1995-09-19","24070","68","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"699","classic","1995-09-26","27848","69","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.85"
"342","classic","1995-09-27","25603","70","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.866"
"713","classic","1995-09-30","27937","71","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.866"
"118","classic","1995-10-22","24183","72","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.866"
"783","junior","1995-10-24","28288","73","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.866"
"1103","classic","1995-11-04","28744","74","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.866"
"504","junior","1995-11-06","26622","75","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"261","gold","1995-11-09","25101","76","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"296","gold","1995-11-13","25331","77","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"113","junior","1995-11-16","24162","78","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"92","classic","1995-11-20","24047","79","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"1225","classic","1995-11-22","28901","80","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"393","junior","1995-12-03","25932","81","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"695","classic","1995-12-15","27825","82","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"666","junior","1995-12-25","27660","83","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"462","classic","1995-12-30","26382","84","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"85","classic","1995-12-31","24028","85","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.872"
"337","classic","1996-01-01","25587","86","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"771","classic","1996-01-08","28226","87","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"379","classic","1996-01-12","25867","88","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"106","classic","1996-01-14","24128","89","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"606","classic","1996-01-22","27237","90","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"427","gold","1996-01-25","26109","91","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"202","classic","1996-02-04","24731","92","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"814","classic","1996-02-15","28338","93","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"1064","classic","1996-02-17","28674","94","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"14","classic","1996-02-17","23666","95","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"423","classic","1996-02-19","26081","96","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"989","classic","1996-02-21","28573","97","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"364","classic","1996-02-29","25767","98","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"267","junior","1996-03-09","25161","99","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"621","junior","1996-03-19","27321","100","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"1139","junior","1996-03-26","28799","101","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"725","junior","1996-03-30","28019","102","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"150","classic","1996-03-30","24378","103","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"302","classic","1996-03-31","25355","104","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"372","classic","1996-03-31","25831","105","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.888"
"499","classic","1996-04-03","26583","106","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"229","classic","1996-04-05","24876","107","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"289","junior","1996-04-08","25289","108","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"1100","junior","1996-04-10","28741","109","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"37","classic","1996-04-20","23787","110","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"286","gold","1996-04-21","25270","111","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"157","classic","1996-04-24","24423","112","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"216","junior","1996-04-24","24809","113","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"977","classic","1996-05-08","28561","114","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"183","classic","1996-05-08","24588","115","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"945","junior","1996-05-09","28516","116","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"44","junior","1996-05-17","23815","117","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"600","classic","1996-05-20","27186","118","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"127","classic","1996-05-23","24244","119","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"764","classic","1996-05-29","28207","120","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"204","junior","1996-05-30","24741","121","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"1134","classic","1996-05-31","28792","122","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"312","classic","1996-06-08","25423","123","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"313","classic","1996-06-17","25432","124","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"641","classic","1996-06-18","27458","125","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"731","classic","1996-06-23","28054","126","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"84","classic","1996-06-26","24026","127","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.904"
"265","classic","1996-06-28","25150","128","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"1176","gold","1996-07-03","28847","129","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"1233","classic","1996-07-06","28912","130","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"407","classic","1996-07-11","25987","131","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"320","classic","1996-07-11","25493","132","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"1187","gold","1996-07-17","28856","133","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"121","junior","1996-07-22","24197","134","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"1055","classic","1996-07-24","28663","135","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"303","classic","1996-08-01","25366","136","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"651","junior","1996-08-02","27536","137","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"736","classic","1996-08-03","28092","138","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"24","junior","1996-08-05","23706","139","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"587","junior","1996-08-05","27125","140","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"119","classic","1996-08-08","24186","141","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"670","classic","1996-08-08","27675","142","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"227","classic","1996-08-10","24873","143","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"1164","classic","1996-08-12","28829","144","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"1043","junior","1996-08-14","28651","145","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"278","classic","1996-08-15","25239","146","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"103","junior","1996-08-17","24120","147","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"673","junior","1996-08-31","27684","148","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"38","classic","1996-08-31","23791","149","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"470","classic","1996-09-02","26437","150","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.919"
"890","classic","1996-09-08","28464","151","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"514","classic","1996-09-10","26656","152","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"741","classic","1996-09-11","28130","153","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"882","classic","1996-09-11","28448","154","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"12","junior","1996-09-11","23641","155","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"152","classic","1996-09-16","24392","156","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"163","classic","1996-09-18","24494","157","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"708","junior","1996-09-24","27881","158","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"1087","classic","1996-10-06","28714","159","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"854","classic","1996-10-07","28415","160","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"601","classic","1996-10-08","27187","161","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"99","gold","1996-10-09","24086","162","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"547","classic","1996-10-11","26855","163","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"40","classic","1996-10-13","23802","164","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"220","classic","1996-10-13","24830","165","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"390","classic","1996-10-14","25924","166","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"776","classic","1996-10-19","28238","167","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"197","junior","1996-10-21","24707","168","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"516","classic","1996-10-25","26668","169","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"381","classic","1996-10-27","25876","170","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"1010","classic","1996-10-27","28601","171","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"813","junior","1996-10-28","28337","172","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"272","junior","1996-10-28","25217","173","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.935"
"772","classic","1996-10-30","28231","174","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"528","classic","1996-10-31","26742","175","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"1014","classic","1996-11-02","28603","176","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"87","classic","1996-11-02","24032","177","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"88","classic","1996-11-04","24035","178","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"441","classic","1996-11-05","26196","179","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"562","classic","1996-11-07","26958","180","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"690","classic","1996-11-07","27797","181","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"374","classic","1996-11-08","25859","182","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"57","classic","1996-11-09","23890","183","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"722","classic","1996-11-14","27990","184","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"300","classic","1996-11-20","25345","185","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"117","junior","1996-11-23","24181","186","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"541","junior","1996-11-26","26806","187","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"294","classic","1996-12-04","25316","188","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"10","classic","1996-12-07","23635","189","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"710","junior","1996-12-10","27901","190","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"408","classic","1996-12-10","25992","191","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"363","junior","1996-12-11","25762","192","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"697","classic","1996-12-11","27834","193","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"433","classic","1996-12-12","26141","194","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"642","classic","1996-12-13","27476","195","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"243","classic","1996-12-13","24961","196","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"162","junior","1996-12-23","24480","197","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"594","junior","1996-12-27","27155","198","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.95"
"609","classic","1996-12-29","27246","199","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.966"
"1111","classic","1996-12-31","28749","200","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.966"
"786","classic","1996-12-31","28299","201","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.966"
"1118","classic","1997-01-02","28760","202","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.966"
"175","classic","1997-01-03","24549","203","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.966"
"565","gold","1997-01-06","26975","204","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.966"
"714","classic","1997-01-09","27948","205","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.966"
"137","junior","1997-01-10","24313","206","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"22","classic","1997-01-11","23691","207","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"325","classic","1997-01-12","25550","208","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"194","classic","1997-01-13","24689","209","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"668","classic","1997-01-14","27672","210","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"706","gold","1997-01-16","27873","211","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"850","classic","1997-01-16","28408","212","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"298","classic","1997-01-17","25340","213","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"105","classic","1997-01-17","24126","214","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"1036","classic","1997-01-17","28629","215","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
"292","gold","1997-01-18","25300","216","1","1900-01-01 00:00:00","2199-12-31 23:59:59.999","2020-04-09 22:05:11.973"
