"client_tk","disp_bk","district_tk","total_amount","total_paid_finished","total_unpaid_finished","total_paid_unfinished","total_unpaid_unfinished"
"3091","26653","63","93888","1","0","0","0"
"1875","25437","6","64224","0","0","1","0"
"2680","26242","52","199680","0","0","1","0"
"4369","27931","54","23052","1","0","0","0"
"2669","26231","70","541200","0","0","0","1"
"369","23931","47","369000","0","0","1","0"
"5274","28836","68","259740","1","0","0","0"
"4767","28329","72","465504","0","0","0","1"
"5354","28916","1","89280","1","0","0","0"
"5179","28741","32","39576","1","0","0","0"
"4899","28461","1","270648","0","1","0","0"
"2037","25599","36","43200","0","0","1","0"
"5359","28921","50","317460","0","0","1","0"
"3952","27514","34","67464","1","0","0","0"
"5265","28827","38","44304","0","0","1","0"
"4958","28520","41","25944","1","0","0","0"
"3458","27020","10","155616","0","0","1","0"
"5307","28869","1","197808","0","0","1","0"
"5204","28766","62","46176","0","0","1","0"
"5048","28610","55","71460","1","0","0","0"
"761","24323","27","12540","1","0","0","0"
"3427","26989","77","48744","0","0","1","0"
"2089","25651","55","143676","0","0","1","0"
"2949","26511","60","89340","0","0","1","0"
"4875","28437","70","123600","0","0","1","0"
"5119","28681","53","170700","0","0","1","0"
"5154","28716","26","272220","0","0","0","1"
"4710","28272","14","321240","0","0","1","0"
"4855","28417","57","83016","1","0","0","0"
"5024","28586","74","51696","1","0","0","0"
"2939","26501","64","360000","0","0","1","0"
"2395","25957","74","214596","0","0","1","0"
"5022","28584","19","140064","0","0","1","0"
"4949","28511","43","124344","0","0","1","0"
"4793","28355","13","61656","0","1","0","0"
"2140","25702","19","396120","0","0","1","0"
"4757","28319","2","107640","1","0","0","0"
"5328","28890","25","152460","0","0","1","0"
"5176","28738","57","23184","1","0","0","0"
"5073","28635","26","29784","1","0","0","0"
"5341","28903","59","148920","0","0","1","0"
"5166","28728","69","122472","0","0","1","0"
"4231","27793","3","460980","0","0","0","1"
"3957","27519","16","140688","0","0","1","0"
"4776","28338","14","117024","1","0","0","0"
"3417","26979","63","24792","0","0","1","0"
"4908","28470","38","87360","1","0","0","0"
"3945","27507","58","68664","0","0","1","0"
"3840","27402","63","4980","1","0","0","0"
"5062","28624","54","56100","0","0","1","0"
"4991","28553","68","30276","1","0","0","0"
"5351","28913","1","44940","1","0","0","0"
"4742","28304","27","64656","0","0","1","0"
"4817","28379","49","117420","0","0","1","0"
"1506","25068","56","185544","0","0","1","0"
"5160","28722","64","69600","0","0","1","0"
"5336","28898","63","274740","1","0","0","0"
"5312","28874","31","115992","1","0","0","0"
"5061","28623","73","260400","0","0","0","1"
"5041","28603","27","153144","0","0","1","0"
"5300","28862","16","269964","0","0","1","0"
"2559","26121","34","185952","0","0","1","0"
"5091","28653","48","7656","1","0","0","0"
"4906","28468","74","398640","0","0","1","0"
"2677","26239","68","99336","1","0","0","0"
"5055","28617","47","35856","0","0","1","0"
"5095","28657","14","333648","0","0","0","1"
"5182","28744","11","52128","1","0","0","0"
"5009","28571","1","31728","1","0","0","0"
"1430","24992","62","182640","0","0","1","0"
"5123","28685","1","88272","0","0","1","0"
"4890","28452","77","464520","0","1","0","0"
"4816","28378","4","129312","0","0","0","1"
"4805","28367","54","58764","0","0","1","0"
"5254","28816","1","77808","1","0","0","0"
"3751","27313","74","94512","0","1","0","0"
"5169","28731","11","164256","0","0","1","0"
"5287","28849","66","151560","1","0","0","0"
"4946","28508","62","37908","1","0","0","0"
"201","23763","66","104808","1","0","0","0"
"2079","25641","68","239460","0","0","1","0"
"5270","28832","27","37812","0","0","1","0"
"5096","28658","20","266220","0","0","1","0"
"4707","28269","60","192744","1","0","0","0"
"4889","28451","47","28248","1","0","0","0"
"4636","28198","58","244560","0","0","1","0"
"769","24331","58","102240","0","0","1","0"
"2032","25594","31","202788","0","0","1","0"
"4900","28462","54","67608","0","0","1","0"
"3000","26562","1","136344","0","0","1","0"
"5256","28818","62","167100","0","0","1","0"
"5172","28734","37","83280","0","0","1","0"
"5210","28772","65","244368","0","0","1","0"
"4806","28368","75","399120","0","0","1","0"
"4750","28312","77","87528","0","0","1","0"
"4934","28496","1","390660","0","0","1","0"
"3151","26713","57","335280","0","0","1","0"
"4827","28389","76","202848","0","0","1","0"
"4193","27755","64","444864","0","0","1","0"
"5084","28646","70","134784","1","0","0","0"
"2795","26357","52","293160","0","0","1","0"
"1239","24801","45","50976","0","0","1","0"
"2545","26107","19","182040","0","0","1","0"
"5163","28725","45","127080","1","0","0","0"
"4452","28014","52","334620","0","0","1","0"
"5138","28700","64","227880","1","0","0","0"
"5355","28917","33","155760","0","0","1","0"
"5153","28715","10","172080","1","0","0","0"
"5198","28760","9","341280","0","0","1","0"
"2266","25828","26","249312","0","0","1","0"
"116","23678","44","265320","0","0","0","1"
"4885","28447","27","78720","0","0","1","0"
"4808","28370","13","79824","1","0","0","0"
"25","23587","21","30276","0","1","0","0"
"4663","28225","74","100128","0","0","1","0"
"5366","28928","1","419880","0","0","1","0"
"5185","28747","1","99936","0","0","1","0"
"4803","28365","5","22356","0","0","1","0"
"5253","28815","1","77808","1","0","0","0"
"5229","28791","74","151728","0","0","0","1"
"5234","28796","47","126600","1","0","0","0"
"149","23711","40","88440","1","0","0","0"
"4971","28533","46","47016","1","0","0","0"
"5310","28872","36","24180","0","0","1","0"
"1834","25396","31","78936","1","0","0","0"
"5321","28883","16","140688","0","0","1","0"
"5054","28616","27","77640","1","0","0","0"
"5298","28860","55","249792","0","0","1","0"
"1571","25133","53","389136","0","0","1","0"
"2460","26022","1","71460","0","0","1","0"
"5362","28924","7","39168","0","0","1","0"
"5201","28763","59","18324","1","0","0","0"
"5311","28873","71","154656","0","0","1","0"
"3532","27094","59","253512","0","0","0","1"
"4854","28416","19","177504","0","0","1","0"
"4755","28317","8","97176","0","0","1","0"
"124","23686","36","162576","0","0","1","0"
"2386","25948","59","44640","0","0","1","0"
"407","23969","72","42816","0","0","1","0"
"5060","28622","24","49320","0","1","0","0"
"4990","28552","21","30276","0","1","0","0"
"2420","25982","1","101520","1","0","0","0"
"4973","28535","55","48672","1","0","0","0"
"1140","24702","6","108720","0","0","1","0"
"4794","28356","6","317520","0","0","1","0"
"1076","24638","70","22260","0","0","1","0"
"4914","28476","3","270384","0","0","1","0"
"5088","28650","77","89040","0","0","1","0"
"4907","28469","5","87360","0","0","1","0"
"4187","27749","38","23628","1","0","0","0"
"3079","26641","52","91632","1","0","0","0"
"2065","25627","46","165960","1","0","0","0"
"108","23670","74","102876","1","0","0","0"
"4988","28550","1","80952","1","0","0","0"
"4809","28371","1","320976","0","0","0","1"
"896","24458","39","73056","0","0","1","0"
"5350","28912","70","89880","1","0","0","0"
"4940","28502","61","116496","0","0","1","0"
"770","24332","58","102240","0","0","1","0"
"3495","27057","49","82896","1","0","0","0"
"1809","25371","69","388512","0","0","0","1"
"2343","25905","53","176328","0","0","1","0"
"5212","28774","70","59448","0","0","0","1"
"5106","28668","47","174048","0","0","1","0"
"1221","24783","52","253200","0","0","1","0"
"3911","27473","42","207264","0","0","1","0"
"5290","28852","72","23412","0","0","1","0"
"5278","28840","23","88704","0","0","1","0"
"5130","28692","62","76104","0","0","1","0"
"5299","28861","41","198240","1","0","0","0"
"2449","26011","52","22932","0","0","1","0"
"5279","28841","23","88704","0","0","1","0"
"5218","28780","1","279072","0","0","1","0"
"5025","28587","52","27984","1","0","0","0"
"2842","26404","1","24516","1","0","0","0"
"5173","28735","11","86616","1","0","0","0"
"4998","28560","39","91200","1","0","0","0"
"5217","28779","1","279072","0","0","1","0"
"5342","28904","46","69360","1","0","0","0"
"3149","26711","26","66432","0","0","1","0"
"1747","25309","31","164052","0","1","0","0"
"2324","25886","42","38520","1","0","0","0"
"2192","25754","1","44952","0","0","1","0"
"2050","25612","30","96396","0","1","0","0"
"4770","28332","15","21396","1","0","0","0"
"3568","27130","14","321180","0","0","1","0"
"4823","28385","28","90180","0","0","1","0"
"4852","28414","9","221880","0","0","1","0"
"5044","28606","69","84120","1","0","0","0"
"2075","25637","28","385584","0","0","1","0"
"5329","28891","13","197748","1","0","0","0"
"383","23945","42","331584","0","0","1","0"
"4916","28478","48","181020","0","0","1","0"
"401","23963","54","100980","0","0","1","0"
"5142","28704","1","70656","0","0","1","0"
"5053","28615","36","128268","0","0","1","0"
"4858","28420","5","285600","0","0","1","0"
"5144","28706","72","155616","0","0","1","0"
"4747","28309","3","66696","0","0","0","1"
"4956","28518","74","194880","0","0","1","0"
"5335","28897","18","154416","1","0","0","0"
"4689","28251","17","97224","1","0","0","0"
"5085","28647","51","309660","0","0","1","0"
"1520","25082","53","23520","1","0","0","0"
"4814","28376","72","193968","1","0","0","0"
"4740","28302","9","20220","1","0","0","0"
"4841","28403","72","78696","0","0","1","0"
"5352","28914","12","392460","0","0","1","0"
"4726","28288","50","135360","0","0","1","0"
"2361","25923","64","293880","0","0","0","1"
"4612","28174","1","212976","0","0","1","0"
"4283","27845","37","68544","1","0","0","0"
"5251","28813","4","233424","0","0","1","0"
"5029","28591","64","372120","0","0","1","0"
"4687","28249","74","221280","0","0","1","0"
"2766","26328","43","95808","1","0","0","0"
"5292","28854","70","267600","0","0","1","0"
"4838","28400","24","174744","0","1","0","0"
"5280","28842","21","86880","1","0","0","0"
"4274","27836","1","76380","1","0","0","0"
"3080","26642","52","91632","1","0","0","0"
"5353","28915","12","392460","0","0","1","0"
"5195","28757","64","188688","0","0","1","0"
"5019","28581","1","94488","0","0","1","0"
"940","24502","19","53076","1","0","0","0"
"4834","28396","47","158184","0","0","1","0"
"5293","28855","12","133800","0","0","1","0"
"1080","24642","37","284280","0","0","1","0"
"1656","25218","65","100080","0","0","1","0"
"4850","28412","13","44628","1","0","0","0"
"5302","28864","76","196224","0","0","1","0"
"3563","27125","38","123216","0","0","1","0"
"4926","28488","61","43164","1","0","0","0"
"4878","28440","5","177804","0","0","1","0"
"2375","25937","54","83628","0","0","1","0"
"5014","28576","68","170448","0","0","1","0"
"5264","28826","70","305424","0","0","1","0"
"4851","28413","9","221880","0","0","1","0"
"4712","28274","73","66480","0","1","0","0"
"4997","28559","39","91200","1","0","0","0"
"5116","28678","17","85716","0","0","1","0"
"5001","28563","63","288468","1","0","0","0"
"5228","28790","54","113796","1","0","0","0"
"4898","28460","29","26208","0","0","1","0"
"3618","27180","48","30012","0","0","1","0"
"1149","24711","70","188532","0","0","1","0"
"4977","28539","7","99744","0","0","1","0"
"4705","28267","62","192744","0","0","1","0"
"4891","28453","1","11736","1","0","0","0"
"5206","28768","1","157068","0","0","1","0"
"5056","28618","9","93600","1","0","0","0"
"5191","28753","73","374760","0","0","1","0"
"5137","28699","64","227880","1","0","0","0"
"5334","28896","16","115812","0","0","1","0"
"4844","28406","1","209184","1","0","0","0"
"5026","28588","23","196080","1","0","0","0"
"2459","26021","42","23328","0","0","1","0"
"3600","27162","38","130896","0","0","1","0"
"5147","28709","1","321936","0","0","1","0"
"5243","28805","24","19044","0","0","1","0"
"5039","28601","34","21852","1","0","0","0"
"5327","28889","1","131292","1","0","0","0"
"5005","28567","72","309600","0","0","1","0"
"5261","28823","22","136368","0","0","1","0"
"1896","25458","47","189792","0","0","1","0"
"4640","28202","77","41988","0","0","1","0"
"3287","26849","1","268320","0","0","1","0"
"5272","28834","69","348120","0","0","1","0"
"510","24072","54","357840","0","0","0","1"
"5230","28792","52","133968","0","0","1","0"
"5136","28698","70","45024","0","0","1","0"
"5042","28604","70","97392","1","0","0","0"
"4635","28197","66","79632","1","0","0","0"
"2488","26050","51","78600","0","0","1","0"
"4810","28372","55","14628","1","0","0","0"
"4599","28161","6","151200","0","0","1","0"
"4594","28156","54","41856","0","0","1","0"
"2296","25858","68","68400","0","1","0","0"
"4910","28472","64","85632","0","0","1","0"
"5269","28831","44","113436","0","0","1","0"
"5345","28907","28","213300","0","0","1","0"
"1420","24982","74","128544","0","0","1","0"
"5148","28710","1","321936","0","0","1","0"
"4835","28397","66","368880","0","0","1","0"
"5284","28846","1","194280","0","0","1","0"
"3910","27472","42","207264","0","0","1","0"
"2490","26052","16","170256","1","0","0","0"
"1969","25531","71","172272","0","0","1","0"
"200","23762","66","104808","1","0","0","0"
"5081","28643","13","87840","1","0","0","0"
"4901","28463","54","67608","0","0","1","0"
"5050","28612","54","473280","0","0","0","1"
"4818","28380","44","79608","1","0","0","0"
"5262","28824","34","22104","0","0","1","0"
"4944","28506","38","64860","0","0","1","0"
"4754","28316","70","162624","0","0","1","0"
"5118","28680","66","67980","1","0","0","0"
"4751","28313","4","402000","0","0","1","0"
"5219","28781","61","139536","1","0","0","0"
"4772","28334","52","141648","1","0","0","0"
"2909","26471","1","428784","0","0","1","0"
"1422","24984","68","35904","0","0","1","0"
"1102","24664","4","189060","0","0","1","0"
"4662","28224","29","51408","1","0","0","0"
"5252","28814","76","311232","0","0","1","0"
"1468","25030","55","52512","0","0","1","0"
"5066","28628","37","155880","1","0","0","0"
"2165","25727","32","162468","0","0","1","0"
"762","24324","27","12540","1","0","0","0"
"543","24105","8","196800","0","0","0","1"
"2461","26023","1","71460","0","0","1","0"
"5322","28884","50","385560","0","0","0","1"
"5276","28838","36","31260","0","0","1","0"
"314","23876","38","160920","0","0","1","0"
"4783","28345","1","258444","0","0","1","0"
"3333","26895","68","437460","0","0","1","0"
"5337","28899","1","168984","0","1","0","0"
"4863","28425","1","99216","0","0","1","0"
"5187","28749","70","86184","1","0","0","0"
"5339","28901","72","217152","1","0","0","0"
"4980","28542","49","63360","0","0","1","0"
"4691","28253","73","74040","1","0","0","0"
"5143","28705","72","155616","0","0","1","0"
"3414","26976","19","41256","0","0","1","0"
"3150","26712","26","66432","0","0","1","0"
"3112","26674","2","93888","0","0","1","0"
"4883","28445","45","184620","0","0","1","0"
"5018","28580","46","390096","0","0","1","0"
"4897","28459","6","360864","0","0","0","1"
"4815","28377","64","276300","0","0","1","0"
"4976","28538","1","203940","0","0","1","0"
"5232","28794","64","96168","1","0","0","0"
"5100","28662","51","265320","1","0","0","0"
"2578","26140","24","72504","0","0","1","0"
"5052","28614","10","160656","0","0","1","0"
"4766","28328","46","219456","0","0","1","0"
"3359","26921","10","272520","0","0","1","0"
"5047","28609","51","42900","1","0","0","0"
"5242","28804","60","89340","0","0","1","0"
"4924","28486","50","150912","0","0","1","0"
"5028","28590","64","372120","0","0","1","0"
"5012","28574","62","320592","0","0","1","0"
"1157","24719","65","98184","1","0","0","0"
"1612","25174","19","125472","0","0","1","0"
"2557","26119","31","92976","1","0","0","0"
"4654","28216","61","51360","0","1","0","0"
"3477","27039","44","277884","0","0","0","1"
"1521","25083","53","23520","1","0","0","0"
"998","24560","73","178500","0","0","1","0"
"4828","28390","76","202848","0","0","1","0"
"2877","26439","6","466608","0","0","1","0"
"967","24529","72","187104","1","0","0","0"
"4930","28492","74","76992","0","0","1","0"
"4826","28388","4","68340","0","0","1","0"
"5226","28788","54","116040","0","0","1","0"
"5006","28568","59","153504","0","0","1","0"
"4921","28483","1","34572","1","0","0","0"
"4928","28490","6","104964","0","0","1","0"
"4773","28335","47","213300","0","0","1","0"
"5237","28799","2","331560","0","0","1","0"
"44","23606","19","110736","0","0","1","0"
"4284","27846","37","68544","1","0","0","0"
"5140","28702","40","186384","0","0","1","0"
"5016","28578","40","42384","0","0","1","0"
"5155","28717","32","16032","0","0","1","0"
"5058","28620","31","208320","1","0","0","0"
"4061","27623","58","174840","0","0","1","0"
"2576","26138","29","347952","0","0","1","0"
"4856","28418","61","225420","0","0","1","0"
"4784","28346","20","128988","0","0","0","1"
"5257","28819","1","231696","1","0","0","0"
"4987","28549","11","49044","0","0","1","0"
"2499","26061","67","299088","0","1","0","0"
"1748","25310","50","191088","0","0","1","0"
"5117","28679","17","85716","0","0","1","0"
"5231","28793","52","133968","0","0","1","0"
"5183","28745","59","188616","0","0","1","0"
"4799","28361","58","20352","0","0","1","0"
"2655","26217","33","46320","1","0","0","0"
"5075","28637","1","80340","1","0","0","0"
"4966","28528","69","495180","0","0","1","0"
"2147","25709","1","37944","0","0","1","0"
"4975","28537","71","49488","0","0","1","0"
"4922","28484","34","10944","0","0","1","0"
"5089","28651","1","247728","0","0","1","0"
"3335","26897","74","380160","0","0","1","0"
"3121","26683","52","156420","0","0","1","0"
"5225","28787","54","116040","0","0","1","0"
"5188","28750","54","83628","0","0","1","0"
"333","23895","56","123696","1","0","0","0"
"5159","28721","64","69600","0","0","1","0"
"5146","28708","1","38148","1","0","0","0"
"5099","28661","51","265320","1","0","0","0"
"5281","28843","55","21924","1","0","0","0"
"5067","28629","45","74736","1","0","0","0"
"5227","28789","54","113796","1","0","0","0"
"5180","28742","70","41904","1","0","0","0"
"4812","28374","77","173808","1","0","0","0"
"5291","28853","1","482940","0","0","0","1"
"4969","28531","1","234336","0","0","1","0"
"4675","28237","69","90156","1","0","0","0"
"4938","28500","1","100260","0","0","1","0"
"5098","28660","17","21072","1","0","0","0"
"4985","28547","17","152160","0","0","1","0"
"3413","26975","19","41256","0","0","1","0"
"1712","25274","62","165780","0","0","1","0"
"2908","26470","1","428784","0","0","1","0"
"5241","28803","60","89340","0","0","1","0"
"4819","28381","15","170832","0","0","1","0"
"5101","28663","2","85860","0","0","1","0"
"2430","25992","70","92400","1","0","0","0"
"2999","26561","1","136344","0","0","1","0"
"1572","25134","19","45336","1","0","0","0"
"4905","28467","67","247920","0","0","0","1"
"4800","28362","58","20352","0","0","1","0"
"4765","28327","46","219456","0","0","1","0"
"5093","28655","29","417060","0","0","1","0"
"5064","28626","59","99300","0","0","1","0"
"4698","28260","1","87816","1","0","0","0"
"5079","28641","31","224604","1","0","0","0"
"2394","25956","74","214596","0","0","1","0"
"5010","28572","1","31728","1","0","0","0"
"5033","28595","60","189696","0","1","0","0"
"5365","28927","1","419880","0","0","1","0"
"2510","26072","9","53472","1","0","0","0"
"4961","28523","38","96768","0","0","1","0"
"5157","28719","9","52236","0","0","1","0"
"5197","28759","21","116832","1","0","0","0"
"5268","28830","27","239160","0","0","1","0"
"4869","28431","52","290700","0","0","0","1"
"5285","28847","39","123408","1","0","0","0"
"4955","28517","3","139488","0","0","1","0"
"5325","28887","32","57120","0","0","1","0"
"5244","28806","64","210744","0","0","1","0"
"5240","28802","1","36168","1","0","0","0"
"5222","28784","8","31620","0","0","1","0"
"4790","28352","54","11400","1","0","0","0"
"4398","27960","53","307200","0","0","0","1"
"5097","28659","20","220620","0","0","1","0"
"5151","28713","43","71976","0","0","0","1"
"31","23593","68","30276","1","0","0","0"
"2118","25680","14","105804","1","0","0","0"
"5112","28674","64","47304","1","0","0","0"
"5031","28593","19","189696","1","0","0","0"
"1453","25015","55","74772","0","0","1","0"
"2473","26035","31","61560","1","0","0","0"
"4947","28509","1","17184","1","0","0","0"
"3494","27056","49","82896","1","0","0","0"
"5289","28851","72","23412","0","0","1","0"
"4177","27739","1","271584","0","0","1","0"
"5094","28656","29","417060","0","0","1","0"
"4780","28342","33","289920","0","0","1","0"
"5332","28894","25","18720","0","0","1","0"
"4611","28173","1","212976","0","0","1","0"
"4967","28529","55","63972","0","0","0","1"
